Call Time,Caller ID,Destination,Status,Ringing,Talking,Cost,Reason,Sentiment,Summary,Transcription
2025-08-01T08:22:53,DROGUERIA SDO895 (89520),VMail (30320),answered,00:00:00,00:00:06,0.00,Terminated by DROGUERIA SDO895 (89520),,,
2025-08-01T08:22:32,DROGUERIA SDO895 (89520),DROGUERIA STO303 (30320),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (30320)",,,
2025-08-01T08:21:59,DROGUERIA STO107 (10720),VMail (10120),answered,00:00:00,00:00:46,0.00,Terminated by DROGUERIA STO107 (10720),,,
2025-08-01T08:21:38,DROGUERIA STO107 (10720),DROGUERIA STO101 (10120),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (10120)",,,
2025-08-01T08:22:34,DROGUERIA STO036 (03620),VMail (03120),answered,00:00:00,00:00:08,0.00,Terminated by DROGUERIA STO036 (03620),,,
2025-08-01T08:22:13,DROGUERIA STO036 (03620),DROGUERIA SAO031 (03120),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (03120)",,,
2025-08-01T08:20:54,DROGUERIA STO043 (04320),VMail (08420),answered,00:00:00,00:01:47,0.00,Terminated by DROGUERIA STO043 (04320),,,
2025-08-01T08:20:33,DROGUERIA STO043 (04320),DROGUERIA STO084 (08420),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (08420)",,,
2025-08-01T08:21:08,DROGUERIA STO107 (10720),VMail (99989),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA STO107 (10720),,,
2025-08-01T08:21:07,DROGUERIA STO107 (10720),110120,unanswered,00:00:00,00:00:00,0.00,Target not found,,,
2025-08-01T08:20:28,DROGUERIA SAO047 (04720),VMail (00620),answered,00:00:00,00:00:03,0.00,Terminated by DROGUERIA SAO047 (04720),,,
2025-08-01T08:20:07,DROGUERIA SAO047 (04720),DROGUERIA STO006 (00620),unanswered,00:00:21,00:00:00,0.00,"No answer, forwarded to VMail (00620)",,,
